"Nastali, zbrani in odloženi komunalni odpadki, obèine, Slovenija, letno"

"OBÈINE","2012 Nastali komunalni odpadki (kg/prebivalca)","2012 Odloženi komunalni odpadki (kg/prebivalca)","2013 Nastali komunalni odpadki (kg/prebivalca)","2013 Odloženi komunalni odpadki (kg/prebivalca)","2014 Nastali komunalni odpadki (kg/prebivalca)","2014 Odloženi komunalni odpadki (kg/prebivalca)","2015 Nastali komunalni odpadki (kg/prebivalca)","2015 Odloženi komunalni odpadki (kg/prebivalca)","2016 Nastali komunalni odpadki (kg/prebivalca)","2016 Odloženi komunalni odpadki (kg/prebivalca)","2017 Nastali komunalni odpadki (kg/prebivalca)","2017 Odloženi komunalni odpadki (kg/prebivalca)","2018 Nastali komunalni odpadki (kg/prebivalca)","2018 Odloženi komunalni odpadki (kg/prebivalca)","2019 Nastali komunalni odpadki (kg/prebivalca)","2019 Odloženi komunalni odpadki (kg/prebivalca)","2020 Nastali komunalni odpadki (kg/prebivalca)","2020 Odloženi komunalni odpadki (kg/prebivalca)"
"SLOVENIJA",362,153,414,109,433,101,451,101,465,27,478,32,495,28,509,32,489,31
"Ajdovšèina",367,202,388,17,403,17,450,0,433,-,425,0,472,8,496,14,474,14
"Ankaran",-,-,-,-,-,-,508,141,585,-,617,7,541,12,573,16,544,17
"Apaèe",251,88,316,58,368,51,413,80,415,-,449,63,459,52,497,64,435,69
"Beltinci",297,147,337,56,358,50,393,59,401,-,427,53,459,40,500,51,425,46
"Benedikt",244,37,313,17,330,3,346,19,368,-,383,0,368,11,375,31,280,18
"Bistrica ob Sotli",181,73,257,33,276,25,323,31,336,-,360,20,394,26,374,22,310,19
"Bled",475,174,558,56,576,52,594,88,588,-,611,59,680,51,709,50,512,35
"Bloke",249,132,305,13,349,2,380,129,369,-,296,29,300,5,316,8,298,9
"Bohinj",354,164,424,184,439,181,492,152,502,-,521,116,554,100,573,107,482,92
"Borovnica",360,109,397,7,430,2,449,56,458,-,462,2,496,4,517,6,426,6
"Bovec",496,269,558,20,566,119,595,186,604,-,665,0,678,30,733,11,874,10
"Braslovèe",272,36,314,37,327,30,341,34,356,-,384,23,389,25,437,27,351,21
"Brda",414,280,469,156,476,87,480,240,522,-,577,10,595,21,591,19,543,10
"Brezovica",304,117,348,94,361,96,437,81,403,-,433,4,446,7,465,11,381,11
"Brežice",279,134,340,110,362,124,510,128,392,-,400,24,403,7,443,16,430,7
"Cankova",286,147,331,57,311,50,346,60,368,-,366,48,393,40,413,46,330,43
"Celje",464,97,518,90,525,83,559,84,533,-,556,60,571,64,605,58,589,52
"Cerklje na Gorenjskem",323,95,348,11,462,122,458,83,476,-,478,32,499,10,529,16,448,17
"Cerknica",265,134,326,13,364,68,384,144,417,-,403,44,427,85,443,64,417,60
"Cerkno",275,89,336,94,356,96,386,92,397,-,416,5,433,8,429,12,329,12
"Cerkvenjak",229,48,306,21,340,3,349,20,374,-,382,0,375,13,368,21,254,15
"Cirkulane",185,107,227,91,240,75,264,61,254,-,263,16,267,19,282,19,219,8
"Èrenšovci",219,124,285,50,309,44,332,55,335,-,348,40,363,36,392,40,288,36
"Èrna na Koroškem",318,256,312,44,350,47,372,43,372,-,383,58,395,54,409,48,367,35
"Èrnomelj",285,165,342,166,339,135,362,128,370,-,382,89,398,13,394,23,329,22
"Destrnik",192,98,236,84,260,72,279,70,281,-,305,17,306,20,328,18,255,9
"Divaèa",266,115,399,131,367,95,389,86,420,-,408,13,409,12,411,3,383,2
"Dobje",150,25,206,22,311,39,307,35,300,-,345,29,354,23,398,26,461,17
"Dobrepolje",299,140,333,114,339,104,340,81,331,-,348,7,371,7,378,18,347,23
"Dobrna",362,47,388,50,409,48,425,56,517,-,479,38,479,43,579,44,508,41
"Dobrova-Polhov Gradec",251,147,252,84,281,84,323,74,298,-,314,4,320,8,324,9,264,9
"Dobrovnik",225,118,284,46,300,42,355,58,358,-,404,50,408,40,397,40,324,37
